day_range,info,market_segment,name,previous_close,stock_Value,time,volume
$138.67 - $139.68,"Alphabet Inc. is an American multinational technology conglomerate holding company headquartered in Mountain View, California. It was created through a restructuring of Google on October 2, 2015, and became the parent company of Google and several former Google subsidiaries. Alphabet is the world's third-largest technology company by revenue and one of the world's most valuable companies. It is considered one of the Big Five American information technology companies, alongside Amazon, Apple, Meta, and Microsoft. The establishment of Alphabet Inc. was prompted by a desire to make the core Google business ""cleaner and more accountable"" while allowing greater autonomy to group companies that operate in businesses other than Internet services. Founders Larry Page and Sergey Brin announced their resignation from their executive posts in December 2019, with the CEO role to be filled by Sundar Pichai, also the CEO of Google. Page and Brin remain employees, board members, and controlling shareholders of Alphabet Inc.",22.37M,Alphabet Inc Class C,$140.02,$138.84,"Nov 24, 9:48:41 AM GMT-5 · USD · NASDAQ ·",$85.57 - $142.38
$189.80 - $190.90,"Apple Inc. is an American multinational technology company headquartered in Cupertino, California. As of March 2023, Apple is the world's largest company by market capitalization, and with US$394.3 billion the largest technology company by 2022 revenue. As of June 2022, Apple is the fourth-largest personal computer vendor by unit sales; the largest manufacturing company by revenue; and the second-largest mobile phone manufacturer in the world. It is considered one of the Big Five American information technology companies, alongside Alphabet, Amazon, Meta, and Microsoft. Apple was founded as Apple Computer Company on April 1, 1976, by Steve Wozniak, Steve Jobs and Ronald Wayne to develop and sell Wozniak's Apple I personal computer. It was incorporated by Jobs and Wozniak as Apple Computer, Inc. in 1977. The company's second computer, the Apple II, became a best seller and one of the first mass-produced microcomputers. Apple went public in 1980 to instant financial success. The company developed computers featuring innovative graphical user interfaces, including the 1984 original Macintosh, announced that year in a critically acclaimed advertisement called ""1984"".",56.12M,Apple Inc,$191.31,$189.88,"Nov 24, 9:48:42 AM GMT-5 · USD · NASDAQ ·",$124.17 - $198.23
$12.18 - $12.29,"GameStop Corp. is an American video game, consumer electronics, and gaming merchandise retailer. The company is headquartered in Grapevine, Texas, and is the largest video game retailer worldwide. As of 28 January 2023, the company operates 4,413 stores including 2,949 in the United States, 216 in Canada, 419 in Australia and 829 in Europe under the GameStop, EB Games, EB Games Australia, Micromania-Zing, ThinkGeek and Zing Pop Culture brands. The company was founded in Dallas in 1984 as Babbage's, and took on its current name in 1999. The company's performance declined during the mid-to-late 2010s due to the shift of video game sales to online shopping and failed investments by GameStop in smartphone retail. In 2021, after retail investors noticed that the short interest well exceeded the float, the company's stock price skyrocketed. According to the SEC report, this volatility was only in part due to the shorts covering their positions, but mostly thanks to the massive buying power of retail investors. The company received significant media attention during January and February 2021 due to the volatility of its stock price in the GameStop short squeeze.",3.29M,GameStop Corp,$12.29,$12.25,"Nov 24, 9:48:44 AM GMT-5 · USD · NYSE ·",$11.83 - $27.87
$34.76 - $34.92,"The Kraft Heinz Company, commonly known as Kraft Heinz, is an American multinational food company formed by the merger of Kraft Foods and H.J. Heinz Company co-headquartered in Chicago and Pittsburgh. Kraft Heinz is the third-largest food and beverage company in North America and the fifth-largest in the world with over $26.0 billion in annual sales as of 2021. In addition to Kraft and Heinz, over 20 other brands are part of the company's profile including Boca Burger, Gevalia, Grey Poupon, Oscar Mayer, Philadelphia Cream Cheese, Primal Kitchen, and Wattie's, eight of which have total individual sales of over $1 billion. Kraft Heinz ranked 114th in the 2018 Fortune 500 list of the largest United States corporations based on 2017 total revenue.",7.62M,Kraft Heinz Co,$34.68,$34.86,"Nov 24, 9:48:48 AM GMT-5 · USD · NASDAQ ·",$30.68 - $42.80
$352.14 - $355.41,"Vertex Pharmaceuticals is an American biopharmaceutical company based in Boston, Massachusetts. It was one of the first biotech firms to use an explicit strategy of rational drug design rather than combinatorial chemistry. It maintains headquarters in South Boston, Massachusetts, and three research facilities, in San Diego, California, and Milton Park, Oxfordshire, England.",1.46M,Vertex Pharmaceuticals Incorporated,$353.23,$352.43,"Nov 24, 9:48:47 AM GMT-5 · USD · NASDAQ ·",$282.21 - $387.42
$11.00 - $11.16,"Stratasys, Ltd. is an American-Israeli manufacturer of 3D printers, software, and materials for polymer additive manufacturing as well as 3D-printed parts on-demand. The company is incorporated in Israel. Engineers use Stratasys systems to model complex geometries in a wide range of polymer materials, including: ABS, polyphenylsulfone, polycarbonate and polyetherimide and Nylon 12. Stratasys manufactures in-office prototyping and direct digital manufacturing systems for automotive, aerospace, industrial, recreational, electronic, medical and consumer product OEMs.",646.48K,Stratasys Ltd,$11.00,$11.13,"Nov 24, 9:48:52 AM GMT-5 · USD · NASDAQ ·",$9.95 - $21.72
€11.04 - €11.15,"GameStop Corp. is an American video game, consumer electronics, and gaming merchandise retailer. The company is headquartered in Grapevine, Texas, and is the largest video game retailer worldwide. As of 28 January 2023, the company operates 4,413 stores including 2,949 in the United States, 216 in Canada, 419 in Australia and 829 in Europe under the GameStop, EB Games, EB Games Australia, Micromania-Zing, ThinkGeek and Zing Pop Culture brands. The company was founded in Dallas in 1984 as Babbage's, and took on its current name in 1999. The company's performance declined during the mid-to-late 2010s due to the shift of video game sales to online shopping and failed investments by GameStop in smartphone retail. In 2021, after retail investors noticed that the short interest well exceeded the float, the company's stock price skyrocketed. According to the SEC report, this volatility was only in part due to the shorts covering their positions, but mostly thanks to the massive buying power of retail investors. The company received significant media attention during January and February 2021 due to the volatility of its stock price in the GameStop short squeeze.",-,GameStop Corp,€11.05,€11.15,"Nov 24, 2:15:16 PM GMT+1 · EUR · FRA ·",€11.01 - €26.41
$485.00 - $511.00,"Andes Technology Corporation is a Taiwanese supplier of 32/64-bit embedded CPU cores and a founding Premier member of RISC-V International. It focuses on the embedded market and delivers CPU cores with integrated development environment and associated software and hardware for SoC development. Andes is ranked the fifth IP company in the world. By the end of 2022, the cumulative volume of Andes-Embedded SoCs has surpassed 12 billion.",-,Andes Technology Corp,$503.00,$489.00,"Nov 24, 2:42:31 PM GMT+8 · TWD · TPE ·",$376.50 - $613.00
€7.80 - €7.83,"Deutsche Lufthansa AG, commonly shortened to Lufthansa, serves as the flag carrier of Germany. When combined with its subsidiaries, it stands as the second-largest airline in Europe in terms of passengers carried, after the ultra low-cost carrier Ryanair. Lufthansa is also one of the five founding members of Star Alliance, which is the world's largest airline alliance, formed in 1997. Besides its own services, and owning subsidiary passenger airlines Austrian Airlines, Swiss International Air Lines, Brussels Airlines, and Eurowings, Deutsche Lufthansa AG owns several aviation-related companies, such as Lufthansa Technik and LSG Sky Chefs, as part of the Lufthansa Group. In total, the group has over 700 aircraft, making it one of the largest airline fleets in the world. Lufthansa's registered office and corporate headquarters are in Cologne. The main operations base, called Lufthansa Aviation Center, is at Lufthansa's primary hub at Frankfurt Airport, and its secondary hub is at Munich Airport where a secondary Flight Operations Centre is maintained.",4.89,Deutsche Lufthansa AG,€7.86,€7.83,"Nov 24, 2:20:36 PM GMT+1 · EUR · FRA ·",€6.54 - €11.11
$71.30 - $72.75,"AIA Group Limited, often known as AIA, is a Hong Kong-based multinational insurance and finance corporation. It is the largest publicly listed life insurance group in Asia-Pacific. It offers insurance and financial services, writing life insurance for individuals and businesses, as well as accident and health insurance, and offers retirement planning, and wealth management services, variable contracts, investments and securities. AIA is headquartered in Central, Hong Kong, with a presence in 18 markets in Asia-Pacific, with wholly-owned branches and subsidiaries in Hong Kong, mainland China, Taiwan, Macau, South Korea, Singapore, Thailand, Malaysia, the Philippines, Indonesia, Vietnam, Brunei, Cambodia, Myanmar, Australia, New Zealand, Sri Lanka and a 49% joint venture in India. Since 2013, AIA has had an exclusive bancassurance agreement with Citibank that encompasses 11 AIA markets in Asia-Pacific. In August 2013, AIA became the official shirt partner of the English Premier League football club Tottenham Hotspur.",20.54M,AIA Group Ltd,$73.45,$71.40,"Nov 24, 4:08:38 PM GMT+8 · HKD · HKG ·",$61.15 - $93.65
