industry,market_change,market_change_percent,market_price,name,sector,time
Lodging,+6.05,(+2.91%),213.60,Asian Hotels (North) Limited (ASIANHOTNR.BO),Consumer Cyclical,At close:  03:28PM IST
,0.0000,(0.00%),0.0000,Trend Etf Msci Asia Ex-Japao Fundo De Investimento De Indice - Investimento No Exterior (ASIA11.SA),,As of  05:16PM BRT. Market open.
Oil & Gas Equipment & Services,+8.55,(+4.99%),179.75,Asian Energy Services Limited (ASIANENE.NS),Energy,At close:  03:24PM IST
Lodging,0.00,(0.00%),6.80,Asia Hotel Public Company Limited (ASIA-R.BK),Consumer Cyclical,At close:  11:13AM ICT
Packaged Foods,-0.10,(-1.53%),6.45,Asian Sea Corporation Public Company Limited (ASIAN.BK),Consumer Defensive,At close:  04:35PM ICT
Packaged Foods,-0.10,(-1.53%),6.45,Asian Sea Corporation Public Company Limited (ASIAN-R.BK),Consumer Defensive,At close:  04:35PM ICT
,+0.60,(+1.84%),33.20,ASICS Corp (ASI1.SG),,As of  08:19AM CET. Market open.
,0.00,(0.00%),33.60,ASICS Corp (ASI1.MU),,As of  08:11AM CET. Market open.
,-0.20,(-0.60%),33.00,ASICS Corp (ASI1.DU),,As of  12:30PM CET. Market open.
Oil & Gas Equipment & Services,+8.55,(+4.98%),180.40,Asian Energy Services Limited (ASIANENE.BO),Energy,At close:  03:25PM IST
Footwear & Accessories,0.00,(0.00%),32.60,ASICS Corporation (ASI1.F),Consumer Cyclical,As of  09:15AM CET. Market open.
,-0.40,(-1.19%),33.20,ASICS Corp (ASI1.BE),,As of  08:11AM CET. Market open.
Lodging,0.00,(0.00%),6.80,Asia Hotel Public Company Limited (ASIA.BK),Consumer Cyclical,At close:  11:13AM ICT
,0.0000,(0.00%),2.2700,Tridev Infraestates Limited (ASHUTPM.BO),,At close:  01:55PM IST
Other Industrial Metals & Mining,0.0000,(0.00%),0.0876,Progressive Planet Solutions Inc. (ASHXF),Basic Materials,At close:  03:08PM EST
Rental & Leasing Services,-4.09,(-1.68%),240.00,Ashtead Group plc (ASHTY),Industrials,At close:  03:59PM EST
,-1.04,(-2.20%),46.34,Ashirwad Steels & Industries Limited (ASHSI.BO),,At close:  03:21PM IST
,+0.05,(+0.97%),5.19,Ashram Online.com Limited (ASHRAM.BO),,At close:  02:20PM IST
